id,district,stay_name,stay_type,address,phone,check_in_out,coordinates,tags,description
11,古坑鄉,華山觀止 虫二行館,頂級設計民宿/會館,646雲林縣古坑鄉華山村松林路54-5號,05-5900000,入住 15:00 / 退房 11:00,"23.589810, 120.598450","清水模建築, 華山夜景, 精緻法餐, 咖啡莊園",清水模與玻璃交織的現代美學建築，遠眺雲嘉南百萬夜景，提供無菜單料理與頂級山居體驗。
12,古坑鄉,桂林映象會館,特色景觀民宿/會館,646雲林縣古坑鄉桂林村景水1之6號,05-5901280,入住 15:00 / 退房 11:00,"23.593120, 120.589140","泰國風情, 庭園景觀, 森林步道, 景觀咖啡",充滿濃郁泰式南洋風情的度假莊園，雕刻佛像、水上涼亭與落羽松步道環繞，彷彿置身泰國渡假村。
13,古坑鄉,微風山林 (仙地咖啡景觀民宿),景觀民宿,646雲林縣古坑鄉桃源路1-38號,05-5901989,入住 15:00 / 退房 11:00,"23.585420, 120.601250","華山最高點, 百萬夜景, 古坑咖啡, 觀星賞月",座落華山制高點，擁有絕佳視野眺望七縣市璀璨夜景，享受天然山林芬多精與醇厚在地咖啡。
14,古坑鄉,草嶺spa渡假山莊,森林渡假山莊,646雲林縣古坑鄉草嶺村54-8號,05-5831121,入住 15:00 / 退房 11:00,"23.601250, 120.718910","草嶺地質公園, 萬年峽谷, 森林SPA, 芬多精",深藏於草嶺天然地質美景中，提供水療SPA設施與山產風味料理，親近大自然的避暑勝地。
15,古坑鄉,耐斯蘿莎玫瑰莊園周邊休閒民宿群,特色民宿,646雲林縣古坑鄉永光村大湖口53-1號周邊,05-5825888,入住 15:00 / 退房 11:00,"23.621450, 120.575610","香草花園, 歐風花海, 親子漫遊",鄰近萬坪蘿莎玫瑰莊園與綠色隧道，周邊花團錦簇，適合情侶漫步與家庭放鬆度假。
16,西螺鎮,西螺米都大飯店,商務旅館,648雲林縣西螺鎮振興里振興137號,05-5867007,入住 15:00 / 退房 11:00,"23.788450, 120.457810","西螺大橋旁, 延平老街, 自行車補給",臨近西螺大橋與延平老街，環境清幽雅緻，提供環島旅客與商務客溫暖便利的休憩環境。
17,口湖鄉,成龍溼地 椬梧故事鐵花窗景觀民宿,特色生態民宿,653雲林縣口湖鄉成龍村成龍135號,0912-345678,入住 15:00 / 退房 11:00,"23.548910, 120.171250","成龍溼地, 椬梧滯洪池, 夕陽賞鳥, 生態導覽",緊鄰成龍溼地與椬梧滯洪池（小日月潭），融入在地烏魚子與鐵花窗工藝，感受沿海漁村靜謐時光。
18,口湖鄉,金湖休閒農業區特色漁村行館,漁村體驗民宿,653雲林縣口湖鄉崇文路二段402巷88號,05-7895475,入住 15:00 / 退房 11:00,"23.571450, 120.165890","漁村廚房, 摸蛤體驗, 鰻魚風味餐, 休閒農業",坐落於金湖休閒農業區，結合捕魚、摸蛤、曬烏魚子等沿海體驗活動與道地海味餐席。
19,水林鄉,水林憨吉客棧 (顏思齊開台文化民宿),文史鄉村農莊,652雲林縣水林鄉水南村文化路12號,05-7850001,入住 15:00 / 退房 11:00,"23.570890, 120.243510","開台第一庄, 七角井古蹟, 地瓜農遊",位於「開台第一庄」水林鄉，體驗田園地瓜農事、七角井古蹟巡禮與濃郁台灣鄉土風情。
20,麥寮鄉,麥寮風華休閒汽車旅館,汽車旅館/商務旅館,638雲林縣麥寮鄉後安村後安路220號,05-6917777,入住 18:00 / 退房 12:00,"23.751200, 120.248910","海線商務, 舒適大空間, 私人車庫",麥寮與六輕工業區周邊頂級休憩住宿，房型寬敞現代化，提供出差商務與沿海旅遊舒適體驗。
