站點代碼,站點名稱,行政區,站點類型,緯度(Latitude),經度(Longitude),位置與周邊地標,提供車款,租借方式,費率與優惠,營運狀態,網站小卡文案簡介,特色標籤,Google地圖連結
YL-DL-011,雲林溪美食廣場,斗六市,購物商圈,23.706189,120.540125,民生南路雲林溪畔美食廣場,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,品嚐斗六道地老字號小吃（魷魚羹、排骨酥麵、當歸鴨）最佳聚落。,"道地小吃,河岸散步,市中心","https://www.google.com/maps/search/?api=1&query=23.706189,120.540125"
YL-DL-012,斗六高中,斗六市,學校文教,23.714521,120.545112,文化路211號（國立斗六高級中學校門旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,斗六指標高級中等學校，學生通學往返火車站的主要綠色運具站點。,"高中通學,學生首選,台鐵接駁","https://www.google.com/maps/search/?api=1&query=23.714521,120.545112"
YL-DL-013,斗六家商,斗六市,學校文教,23.702812,120.548971,成功路61號（國立斗六家商大門）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,鄰近成功路商圈與斗六家商，學生通勤及在地居民代步便利據點。,"學校通學,市區交通,擴站支援","https://www.google.com/maps/search/?api=1&query=23.702812,120.548971"
YL-DL-014,斗六水岸公園,斗六市,觀光休閒,23.701145,120.536782,水岸公園園區步道口（雲林溪水岸）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,結合親水生態與親民自行車步道，傍晚散步、假日親子休閒好去處。,"親水綠帶,休閒慢活,自行車道","https://www.google.com/maps/search/?api=1&query=23.701145,120.536782"
YL-DL-015,寧濟御庭,斗六市,觀光休閒,23.681123,120.575231,斗六市貞寮路寧濟御庭山水園區旁,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,斗六知名精緻中式園林景觀園區，古風庭園造景，假日熱門觀光新站點。,"熱門景點,中式園林,拍照打卡","https://www.google.com/maps/search/?api=1&query=23.681123,120.575231"
YL-HW-001,高鐵雲林站,虎尾鎮,交通轉運,23.738128,120.432654,站前東路301號（台灣高鐵雲林站出口接駁區）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲林聯外高鐵門戶，提供商務旅客、返鄉遊子迅速銜接中科園區與虎尾市區。,"高鐵樞紐,商務通勤,中科虎尾","https://www.google.com/maps/search/?api=1&query=23.738128,120.432654"
YL-HW-002,國立虎尾科技大學(文化路),虎尾鎮,學校文教,23.704123,120.435876,文化路64號（虎科大第一校區文化路校門）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,虎尾科技大學核心校區，緊鄰市中心文化路繁榮商圈，學生租借量極高。,"大專院校,虎科大,學生商圈","https://www.google.com/maps/search/?api=1&query=23.704123,120.435876"
YL-HW-003,虎尾科技大學(八德街),虎尾鎮,學校文教,23.701894,120.438912,八德街虎科大第二校區/宿舍區,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,連接虎科大學生宿舍與教學大樓，下課代步跨校區移動首選。,"宿舍接駁,校園通行,生活圈","https://www.google.com/maps/search/?api=1&query=23.701894,120.438912"
YL-HW-004,雲林故事館 / 雲林布袋戲館,虎尾鎮,觀光休閒,23.709321,120.433894,林森路一段528號（日治郡守官邸／虎尾郡役所旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,虎尾文化四館核心地帶（故事館、布袋戲館、合同廳舍誠品、虎尾驛）。,"文化古蹟,布袋戲之鄉,誠品虎尾","https://www.google.com/maps/search/?api=1&query=23.709321,120.433894"
YL-HW-005,建國眷村,虎尾鎮,觀光休閒,23.719875,120.418762,建國一村眷村文化園區入口,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,全台少數保存完整的農村型眷村，老屋改造文創工坊與特色咖啡廳雲集。,"歷史眷村,文創基地,漫活騎行","https://www.google.com/maps/search/?api=1&query=23.719875,120.418762"
YL-HW-006,虎尾糖廠 / 同心公園,虎尾鎮,觀光休閒,23.702987,120.436214,中山路與民主三路口（虎尾糖廠冰品部／同心公園旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,百年糖都經典地標，品嚐台糖冰棒、欣賞季節性五分車運蔗與百年鐵橋。,"百年糖廠,糖鐵風情,休閒散步","https://www.google.com/maps/search/?api=1&query=23.702987,120.436214"
YL-HW-007,臺大醫院雲林分院虎尾院區,虎尾鎮,機關醫療,23.731456,120.438765,學府路99號（高鐵特定區臺大虎尾分院）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,高鐵特定區大型醫學中心，提供就醫看診與特定區內工作人員低碳通勤。,"醫療園區,高鐵特區,長照就醫","https://www.google.com/maps/search/?api=1&query=23.731456,120.438765"
YL-HW-008,興隆毛巾觀光工廠,虎尾鎮,觀光休閒,23.722894,120.449123,埒內里84-1號（興隆毛巾觀光工廠大門口）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,全台知名毛巾文創觀光工廠，體驗造型毛巾DIY與傳統產業升級魅力。,"觀光工廠,親子同遊,手作體驗","https://www.google.com/maps/search/?api=1&query=23.722894,120.449123"
YL-DN-001,斗南車站前站,斗南鎮,交通轉運,23.679123,120.481234,中山路與延平路一段口（斗南火車站站前廣場）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,斗南重要交通門戶與歷史悠久的折衷主義老車站，串聯市中心商圈與順安宮。,"台鐵車站,市區核心,歷史古蹟","https://www.google.com/maps/search/?api=1&query=23.679123,120.481234"
YL-DN-002,斗南順安宮,斗南鎮,宗教社區,23.675432,120.480123,長安路一段126號（順安宮媽祖廟前）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,斗南在地信仰中心「斗南媽」，周邊傳統美食小吃密集。,"信仰中心,媽祖廟,廟口小吃","https://www.google.com/maps/search/?api=1&query=23.675432,120.480123"
YL-DN-003,斗南田徑場,斗南鎮,觀光休閒,23.684567,120.477654,大成路斗南田徑場正門口,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,全縣運動賽事與大型體育活動主要場地，周邊設有運動休閒公園。,"體育場館,運動健走,休憩空間","https://www.google.com/maps/search/?api=1&query=23.684567,120.477654"
YL-DN-004,石龜車站,斗南鎮,交通轉運,23.642198,120.486543,石龜里石龜火車站旁,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,施工暫停（可改至石龜國小站）,縱貫鐵路雲林最南端小站，靜謐田園風光，目前因周邊工程暫停營運。,"台鐵小站,農村秘境,工程施工中","https://www.google.com/maps/search/?api=1&query=23.642198,120.486543"
YL-SL-001,西螺大橋公園 / 蝴蝶公園,西螺鎮,觀光休閒,23.803456,120.463219,西螺大橋南端橋頭公園／高灘地蝴蝶公園,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,遠眺經典紅色「遠東第一大橋」之美，濁水溪畔騎行與野餐最佳景點。,"地標景點,西螺大橋,河濱公園","https://www.google.com/maps/search/?api=1&query=23.803456,120.463219"
YL-SL-002,西螺轉運站,西螺鎮,交通轉運,23.799812,120.461945,中山路70號（西螺國道客運轉運站旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,國道客運往返台北、台中、高雄轉運中樞，下車即可無縫換乘MOOVO深入西螺老街。,"國道客運,交通轉乘,老街起點","https://www.google.com/maps/search/?api=1&query=23.799812,120.461945"
YL-SL-003,西螺森活武樹園區,西螺鎮,觀光休閒,23.795432,120.457812,光復西路西螺森活武樹園區入口,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,以西螺傳統武術七崁文化為主題的生態綠地，寓教於樂的綠化運動公園。,"七崁武術,生態園區,親子休閒","https://www.google.com/maps/search/?api=1&query=23.795432,120.457812"
YL-BG-001,北港武德宮,北港鎮,宗教社區,23.585412,120.306123,華勝路330號（五路武財神祖廟大門廣場旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,全台五路武財神開基祖廟，求財香火鼎盛，信眾參拜與觀光熱門站點。,"財神祖廟,香火鼎盛,朝聖景點","https://www.google.com/maps/search/?api=1&query=23.585412,120.306123"
YL-BG-002,北港觀光大橋 / 北港遊客中心,北港鎮,觀光休閒,23.565891,120.305432,中山路底北港觀光大橋引道／水道頭文化園區旁,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,紅金相間巨型拱橋跨越北港溪，鄰近北港朝天宮老街與水道頭文化園區。,"觀光大橋,朝天宮老街,遊客中心","https://www.google.com/maps/search/?api=1&query=23.565891,120.305432"
YL-BG-003,中國醫藥大學北港附設醫院(媽祖醫院),北港鎮,機關醫療,23.578912,120.301234,新德路123號（媽祖醫院大門口）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲林沿海地區重要醫療重鎮，提供病友與醫護便民接駁。,"沿海醫療,長照就醫,無障礙便民","https://www.google.com/maps/search/?api=1&query=23.578912,120.301234"
YL-BG-004,北港文化中心,北港鎮,學校文教,23.573412,120.298765,公園路66號（北港文化中心前庭）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,北港藝文展覽與傳統工藝推廣重鎮，展示北港百年陣頭與宗教工藝歷史。,"藝文展演,傳統工藝,文化推廣","https://www.google.com/maps/search/?api=1&query=23.573412,120.298765"
YL-TK-001,土庫順天宮,土庫鎮,宗教社區,23.693124,120.362145,中正路109號（土庫老街順天宮媽祖廟前）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,歷史悠久的土庫塗褲媽祖廟，座落於土庫老街核心，周邊鴨肉麵線等古早味雲集。,"老街信仰,百年古廟,地方美食","https://www.google.com/maps/search/?api=1&query=23.693124,120.362145"
YL-TK-002,土庫鎮公所,土庫鎮,機關醫療,23.690876,120.360123,石廟里中正路1號（土庫鎮公所大門旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,土庫鎮行政中心，鄰近土庫國小與長青公園，民眾洽公與運動便利站點。,"行政機關,便民服務,鎮立園區","https://www.google.com/maps/search/?api=1&query=23.690876,120.360123"
YL-KH-001,口湖遊客中心,口湖鄉,觀光休閒,23.582145,120.174321,光明路163號（雲嘉南濱海國家風景區口湖遊客中心）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲嘉南國家風景區沿海旅遊重要樞紐，提供在地農特產展示與自行車補給站服務。,"國家風景區,濱海旅遊,觀光驛站","https://www.google.com/maps/search/?api=1&query=23.582145,120.174321"
YL-KH-002,湖口濕地(椬梧滯洪池),口湖鄉,觀光休閒,23.568765,120.165432,椬梧滯洪池景觀環湖步道旁,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,譽為「雲林版小日月潭」，水色倒映靜謐絕美，環湖自行車道平緩舒適。,"雲林小日月潭,環湖秘境,賞鳥濕地","https://www.google.com/maps/search/?api=1&query=23.568765,120.165432"
YL-SLN-001,顏思齊故事館 / 水林鄉公所,水林鄉,學校文教,23.571432,120.245678,水林路水林鄉公所／顏思齊開台故事館旁,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,探訪「開台第一鄉」顏思齊拓墾史蹟，水林鄉公所與文化景點核心接駁點。,"開台第一鄉,歷史人文,鄉政中心","https://www.google.com/maps/search/?api=1&query=23.571432,120.245678"
YL-SLN-002,水林通天府,水林鄉,宗教社區,23.568912,120.248123,水北村水林路通天府廣場旁,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,水林主要信仰中心之一，深入水林在地鄉村風光與番薯特產聚落最佳起點。,"在地信仰,農村漫遊,特產商圈","https://www.google.com/maps/search/?api=1&query=23.568912,120.248123"
YL-GK-001,古坑綠色隧道公園,古坑鄉,觀光休閒,23.662145,120.548971,湳仔村湳仔綠色隧道公園入口,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲林超人氣林蔭大道，兩側芒果樹綠意盎然，假日農夫市集與單車漫遊必訪首選。,"綠色隧道,林蔭大道,假日市集","https://www.google.com/maps/search/?api=1&query=23.662145,120.548971"
