id,category,sub_category,name,district,address,lat,lng,google_coordinates,phone,business_hours,description,tags,google_map_url,notes,google_matched_name
SPOT-YL-011,觀光景點,歷史建築,虎尾合同廳舍 (誠品/星巴克),虎尾鎮,632雲林縣虎尾鎮林森路一段491號,23.709202,120.4338779,"23.709202, 120.4338779",05-6338356,07:00–21:30,昭和時期消防與警察聯合廳舍，現由誠品書店與星巴克進駐活化。,"日治消防瞭望台, 警察廳舍, 誠品書店, 星巴克老屋","https://www.google.com/maps/search/?api=1&query=23.709202,120.4338779",保留日治消防滑竿、洗石子圓柱與高聳消防瞭望閣樓。,632雲林縣虎尾鎮中山里林森路一段491號
SPOT-YL-012,觀光景點,歷史建築,雲林記憶COOL (虎尾出張所),虎尾鎮,632雲林縣虎尾鎮林森路一段501號,23.7087085,120.4327643,"23.7087085, 120.4327643",05-6327282,09:00–18:00 (週一休),日治台南地方法院虎尾出張所，保留巨大地籍公文鐵件木櫃。,"虎尾登記所, 儲藏櫃歷史, 虎尾糖冰品","https://www.google.com/maps/search/?api=1&query=23.7087085,120.4327643",每週一休館；提供虎尾糖特色刨冰、微冊閱讀與古蹟導覽。,雲林記憶Cool
SPOT-YL-013,觀光景點,歷史聚落,虎尾建國眷村 (一村/二村),虎尾鎮,632雲林縣虎尾鎮建國一村55號,23.7142012,120.4220538,"23.7142012, 120.4220538",05-6339660,全天開放,全台最大農村型眷村，保存日軍防空洞與戰備水塔，為青年創生基地。,"農村型眷村, 日軍防空碉堡, 戰備水塔, 眷村市集","https://www.google.com/maps/search/?api=1&query=23.7142012,120.4220538",園區腹地廣大，防空壕周邊請注意安全；週末市集熱鬧。,建國一村
SPOT-YL-014,觀光景點,景觀園區,澄霖沉香味道森林館,虎尾鎮,632雲林縣虎尾鎮惠來75-6號,23.72985,120.46891,"23.72985, 120.46891",05-6225757,08:00–17:30,日式景觀庭園，園內規劃枯山水、愛心景觀池與水上落羽松森林。,"台版兼六園, 愛心水上落羽松, 日式枯山水","https://www.google.com/maps/search/?api=1&query=23.72985,120.46891",秋冬落羽松變色季最美；設有大型停車場與景觀步道。,澄霖沉香味道森林館
SPOT-YL-015,觀光景點,觀光工廠,興隆毛巾觀光工廠,虎尾鎮,632雲林縣虎尾鎮福興路84-1號,23.724982,120.4431645,"23.724982, 120.4431645",05-6321994,08:00–18:00,全台首創蛋糕毛巾工廠，結合傳統織造與文創包裝，展示古董紡織機。,"蛋糕毛巾創始, 傳統紡織傳承, 毛巾DIY","https://www.google.com/maps/search/?api=1&query=23.724982,120.4431645",手作造型毛巾DIY需現場或預約；提供免費導覽。,興隆毛巾觀光工廠
SPOT-YL-016,觀光景點,歷史古蹟,虎尾涌翠閣,虎尾鎮,632雲林縣虎尾鎮水源路27號,23.7129202,120.4339448,"23.7129202, 120.4339448",05-6333921,依官方公告開放,日治時期虎尾郡接待賓客之高級招待所，保留優雅書院造格局。,"日式招待所, 書院造建築, 文化沙龍","https://www.google.com/maps/search/?api=1&query=23.7129202,120.4339448",日式木構書院造古蹟，入室需脫鞋；配合文資維護規定。,涌翠閣
SPOT-YL-017,觀光景點,歷史建築,西螺大橋 ＆ 蝴蝶公園,西螺鎮,648雲林縣西螺鎮建興路底,23.8059714,120.460728,"23.8059714, 120.460728",無,全天開放,曾為遠東第一長橋，跨越濁水溪，紅色鋼桁架倒映夕陽形成絕美夕照。,"遠東第一長橋, 虹橋夕照, 濁水溪名標, 親子藝術","https://www.google.com/maps/search/?api=1&query=23.8059714,120.460728",黃昏時分「虹橋夕照」最佳；橋下公園設有裝置藝術與滑草坡。,西螺蝴蝶公園(蝴蝶地景)
SPOT-YL-018,觀光景點,歷史老街,西螺延平老街 ＆ 東市場,西螺鎮,648雲林縣西螺鎮延平路,23.8021306,120.4632806,"23.8021306, 120.4632806",05-5861444,全天開放,早期水陸貨運要道，具昭和時期雕花立面；東市場引進手作文創茶席。,"洗石子街屋立面, 東市場木構文創, 在地老醬油","https://www.google.com/maps/search/?api=1&query=23.8021306,120.4632806",東市場內部文創與老街小吃週二、週三部分店家公休。,西螺東市場
SPOT-YL-019,觀光景點,觀光工廠,丸莊醬油觀光工廠,西螺鎮,648雲林縣西螺鎮延平路188號,23.8024272,120.4637897,"23.8024272, 120.4637897",05-5863666,08:00–20:00,延平老街百年老字號，開放參觀古老製麴室、曬甕場與蔭油DIY。,"百年黑豆純釀, 傳統曬缸場, 蔭油DIY","https://www.google.com/maps/search/?api=1&query=23.8024272,120.4637897",壺底蔭油手工DIY每日定時開課，建議提前預約。,丸莊醬油觀光工廠
SPOT-YL-020,觀光景點,宗教文化,西螺福興宮 (太平媽),西螺鎮,648雲林縣西螺鎮延平路180號,23.8016276,120.4605212,"23.8016276, 120.4605212",05-5865490,05:00–22:00,康熙年間建廟，為西螺重要信仰中心，正殿木雕石雕工藝精湛。,"西螺媽祖太平媽, 濁水溪信仰, 百年古廟","https://www.google.com/maps/search/?api=1&query=23.8016276,120.4605212",每年農曆十月舉辦「螺陽迎媽祖」；香客大樓設有鐵馬補給站。,西螺福興宮 西螺媽祖太平媽｜媽祖文化祭
SPOT-YL-021,觀光景點,國定古蹟,北港朝天宮,北港鎮,651雲林縣北港鎮中山路178號,23.5681177,120.3046998,"23.5681177, 120.3046998",05-7832055,04:30–00:00,全台媽祖信仰重鎮與國定古蹟，融合陳應彬木雕等國寶大師巔峰工藝。,"國定古蹟, 媽祖信仰中心, 工藝殿堂, 迎媽祖犁炮","https://www.google.com/maps/search/?api=1&query=23.5681177,120.3046998",農曆三月香期熱鬧（藝閣、犁炮），市區車多建議搭接駁車。,北港朝天宮
SPOT-YL-022,觀光景點,宗教文化,北港武德宮 (五路財神祖廟),北港鎮,651雲林縣北港鎮華勝路330號,23.5810284,120.2991433,"23.5810284, 120.2991433",05-7821445,06:00–22:00,全台五路武財神祖廟，擁有全球最大天庫金爐與氣勢恢宏的道教殿宇。,"全台五路財神祖廟, 通天金爐, 潮牌文創, 樂咖啡","https://www.google.com/maps/search/?api=1&query=23.5810284,120.2991433",附設「樂咖啡」結合法式甜點；春節與補財庫日信眾極多。,北港武德宮
SPOT-YL-023,觀光景點,地標景觀,北港觀光大橋,北港鎮,651雲林縣北港鎮大同路底,23.5621377,120.3035911,"23.5621377, 120.3035911",無,全天開放,橫跨北港溪連接雲林與嘉義之紅色三跨巨龍景觀橋，宏偉醒目。,"三跨巨龍拱橋, 跨越北港溪, 連接新港北港","https://www.google.com/maps/search/?api=1&query=23.5621377,120.3035911",僅供行人與自行車通行；夜晚光雕橋身倒映水面極為壯麗。,北港觀光大橋
SPOT-YL-024,觀光景點,產業古蹟,北港水道頭文化園區,北港鎮,651雲林縣北港鎮民生路1號,23.5644057,120.3055728,"23.5644057, 120.3055728",05-7832100,全天開放,昭和年間淨水廠，保留全台少見十角型水塔與唧筒室，改建親水公園。,"日治十角水塔, 歷史唧筒室, 水岸綠地","https://www.google.com/maps/search/?api=1&query=23.5644057,120.3055728",池塘夏季荷花盛開；每年北港燈會常在此設水上燈區。,651雲林縣北港鎮東陽里民生路1號
SPOT-YL-025,觀光景點,縣定古蹟,北港義民廟,北港鎮,651雲林縣北港鎮旌義街20號,23.5677133,120.3028763,"23.5677133, 120.3028763",05-7834521,07:00–18:00,紀念清代保衛笨港殉難之義民與義犬，為少見之閩籍義民廟文化遺產。,"林爽文事件, 義犬將軍, 縣定古蹟, 保鄉忠烈","https://www.google.com/maps/search/?api=1&query=23.5677133,120.3028763",廟內供奉忠烈義民與靈驗義犬大將軍，見證清代保鄉歷史。,北港義民廟
SPOT-YL-026,觀光景點,休閒步道,古坑綠色隧道,古坑鄉,646雲林縣古坑鄉湳子路,23.659291,120.5409846,"23.659291, 120.5409846",05-5823200,全天開放,兩公里老芒果樹綠蔭大道，與糖鐵並行，假日聚集農特產市集。,"芒果樹林蔭大道, 舊糖鐵軌道, 假日小農市集","https://www.google.com/maps/search/?api=1&query=23.659291,120.5409846",綠隧全長約2公里；週末市集熱鬧，適合家庭與單車騎乘。,古坑綠色隧道公園
SPOT-YL-027,觀光景點,休閒生態,蜜蜂故事館,古坑鄉,646雲林縣古坑鄉湳子路88號,23.658601,120.540373,"23.658601, 120.540373",05-5828255,09:00–17:30,養蜂主題教育園區，館頂有巨大蜜蜂地標，提供蜜蜂生態知識與大草坪。,"巨大蜜蜂模型, 純天然蜂蜜, 養蜂生態箱","https://www.google.com/maps/search/?api=1&query=23.658601,120.540373",位於綠隧入口旁；提供天然蜂蜜水試喝與蜂產手作體驗。,蜜蜂故事館 Honey Museum
SPOT-YL-028,觀光景點,主題樂園,劍湖山世界主題樂園,古坑鄉,646雲林縣古坑鄉大湖口67號,23.61785,120.57945,"23.61785, 120.57945",05-5825789,09:00–17:00,台灣指標性大型遊樂園，設有地標88米摩天輪、高空落體飛梭與親子設施。,"88米摩天輪, G5飛天潛艇, 擎天飛梭, 水陸樂園","https://www.google.com/maps/search/?api=1&query=23.61785,120.57945",夏季加開水樂園；部分刺激設施有身高限制，可先查時間表。,劍湖山世界主題樂園
SPOT-YL-029,觀光景點,休閒農業,華山休閒農業區 (咖啡大街),古坑鄉,646雲林縣古坑鄉華山村,23.5937774,120.5989246,"23.5937774, 120.5989246",05-5900488,各景觀咖啡廳營業至深夜,台灣本土咖啡重鎮，群山遍布景觀咖啡廳，可俯瞰雲嘉南璀璨夜景。,"台灣咖啡原鄉, 雲嘉南百萬夜景, 景觀咖啡館","https://www.google.com/maps/search/?api=1&query=23.5937774,120.5989246",山區夜間行車請注意彎道；秋冬傍晚可觀雲海與七縣市夜景。,咖啡大街 | 華山休閒農業區
SPOT-YL-030,觀光景點,自然生態,古坑荷苞山桐花公園,古坑鄉,646雲林縣古坑鄉荷苞村荷苞66-1號,23.6639834,120.5868069,"23.6639834, 120.5868069",05-5826320,全天開放,全台最早開花桐花景點，園區遍植日治原生咖啡樹與油桐樹。,"四月雪桐花祭, 原生種咖啡樹, 登山步道","https://www.google.com/maps/search/?api=1&query=23.6639834,120.5868069",每年4至5月為桐花祭；林蔭步道茂密，為健行賞花去處。,荷苞山桐花公園
SPOT-YL-031,觀光景點,自然地質,草嶺地質公園 (萬年峽谷),古坑鄉,646雲林縣古坑鄉草嶺村152號周邊,23.5849905,120.694597,"23.5849905, 120.694597",05-5831456,全天開放,清水溪切割岩層形成的鬼斧神工峽谷，岩壁呈現千層岩紋與壺穴。,"清水溪地質奇觀, 千層岩層節理, 壺穴峽谷","https://www.google.com/maps/search/?api=1&query=23.5849905,120.694597",設有安全步道觀景台，嚴禁跨越欄杆下水；雨天注意落石。,草嶺地質公園
SPOT-YL-032,觀光景點,森林秘境,草嶺五元二角 ＆ 杉林步道,古坑鄉,646雲林縣古坑鄉草嶺村石壁聚落,23.6238354,120.7143465,"23.6238354, 120.7143465",05-5831121,全天開放,以在地孟宗竹打造五元二角涼亭群，漫步翠綠竹海宛如走入京都嵐山。,"台版嵐山竹林, 孟宗竹海, 涼亭竹構建築","https://www.google.com/maps/search/?api=1&query=23.6238354,120.7143465",山路狹窄請減速慢行；高海拔氣溫涼爽，建議帶薄外套。,五元兩角
SPOT-YL-033,觀光景點,高山景觀,雲嶺之丘,古坑鄉,646雲林縣古坑鄉草嶺村石壁聚落頂端,23.6279143,120.7114016,"23.6279143, 120.7114016",05-5831456,全天開放,座落雲林、南投、嘉義三縣交界制高點，擁有360度無死角茶園景觀台。,"海拔1650m, 三縣交界, 360度茶園景觀台, 雲海日出","https://www.google.com/maps/search/?api=1&query=23.6279143,120.7114016",午後容易起霧，建議上午前往視野最清晰；備有公廁與觀景台。,雲嶺之丘
SPOT-YL-034,觀光景點,觀光莊園,蘿莎玫瑰莊園,古坑鄉,646雲林縣古坑鄉永光村大湖口46-1號,23.611875,120.5704779,"23.611875, 120.5704779",0800-800193,08:00–17:00,占地萬坪香氛植物園區，栽植數百種珍貴玫瑰與香草，溫室浪漫好拍。,"千坪歐風玫瑰園, 溫室香草花園, 粉紅城堡","https://www.google.com/maps/search/?api=1&query=23.611875,120.5704779",設有大型停車場與無障礙步道；玫瑰花期隨季節常態綻放。,蘿莎玫瑰山莊
SPOT-YL-035,觀光景點,親水生態,椬梧滯洪池,口湖鄉,653雲林縣口湖鄉椬梧段,23.5418746,120.1735195,"23.5418746, 120.1735195",05-7905101,全天開放,因地層下陷改建的大型滯洪池，湖面碧波蕩漾，有雲林小日月潭美稱。,"雲林版小日月潭, 環湖自行車道, 賞鳥秘境","https://www.google.com/maps/search/?api=1&query=23.5418746,120.1735195",環湖自行車道平緩，適合清晨與傍晚騎行；設有多處涼亭。,椬梧滯洪池
SPOT-YL-036,觀光景點,濕地生態,成龍溼地,口湖鄉,653雲林縣口湖鄉成龍村,23.5560975,120.1644187,"23.5560975, 120.1644187",05-7970856,全天開放,國家級生態濕地，每年舉辦國際環境藝術季，水上地景倒映夕照唯美。,"國家級重要濕地, 環境藝術季, 水上夕陽, 水鳥棲息","https://www.google.com/maps/search/?api=1&query=23.5560975,120.1644187",夕陽時分最為驚艷；屬國家級濕地，請勿喧嘩或破壞藝術裝置。,成龍溼地
SPOT-YL-037,觀光景點,旅遊服務,口湖遊客中心,口湖鄉,653雲林縣口湖鄉光明路163號,23.5479337,120.1823695,"23.5479337, 120.1823695",05-7906601,09:00–17:00,雲嘉南濱海核心站點，屋頂以海燕展翅造型設計，提供諮詢與海線風味餐。,"西濱遊憩軸心, 海燕展翅造型, 甘苦人餐廳, 鐵馬補給","https://www.google.com/maps/search/?api=1&query=23.5479337,120.1823695",館內甘苦人餐廳供應蒲燒鰻與海味割稻飯，建議提早預約。,口湖遊客中心
SPOT-YL-038,觀光景點,觀光工廠,台灣鯛生態創意園區,口湖鄉,653雲林縣口湖鄉崙東村民生路1-88號,23.608147,120.171825,"23.608147, 120.171825",05-7993996,09:00–16:30 (週二三休),以高品質台灣鯛為主題的高科技生態展館，呈現智能養殖與生技萃取。,"全台首座台灣鯛工廠, 膠原蛋白生技, 互動海洋球池","https://www.google.com/maps/search/?api=1&query=23.608147,120.171825",館內冷氣開放，提供台灣鯛魚湯試飲與生技保養品選購。,台灣鯛生態創意園區
SPOT-YL-039,觀光景點,休閒農業,口湖金湖休閒農業區,口湖鄉,653雲林縣口湖鄉崇文路二段402巷88號,23.5478231,120.182109,"23.5478231, 120.182109",05-7895475,依各場館預約,高品質外銷鰻魚與烏魚子重鎮，提供穿青蛙裝摸蛤、抓蝦與現烤鰻魚。,"外銷鰻魚故鄉, 曬烏魚子體驗, 摸蛤抓蝦, 漁村風味餐","https://www.google.com/maps/search/?api=1&query=23.5478231,120.182109",「第一鰻波」鰻魚飯與穿青蛙裝下魚塭摸文蛤體驗需事前預約。,金湖休閒農業區
SPOT-YL-040,觀光景點,國定古蹟,麥寮拱範宮 (開山媽祖),麥寮鄉,638雲林縣麥寮鄉中正路3號,23.7483576,120.2559857,"23.7483576, 120.2559857",05-6932033,05:00–21:30,清康熙年間創建，為少數保存完整的國定古蹟媽祖廟，雕刻極具價值。,"國定古蹟, 開山媽祖, 廟宇工藝對場作, 開基神尊","https://www.google.com/maps/search/?api=1&query=23.7483576,120.2559857",三川殿與正殿可見黃龜理與陳天乞大師精彩對場作木雕與剪黏。,638雲林縣麥寮鄉麥豐村中正路3號
SPOT-YL-041,觀光景點,休閒農場,晁陽綠能休閒農場,麥寮鄉,638雲林縣麥寮鄉興華村永樂路52號,23.7512816,120.2970877,"23.7512816, 120.2970877",05-6938238,09:00–17:00 (週一休),太陽能綠能發電結合有機農業與蟋蟀生態養殖，提供食農教育體驗。,"太陽能農棚, 蟋蟀生態館, 採摘食農教育, 綠能環保","https://www.google.com/maps/search/?api=1&query=23.7512816,120.2970877",全台首座結合太陽能與農業農場；蟋蟀解說與炸蟋蟀體驗具特色。,晁陽綠能園區
SPOT-YL-042,觀光景點,休閒牧場,千巧谷牛樂園牧場,崙背鄉,637雲林縣崙背鄉羅厝村東興182-32號,23.76512,120.36485,"23.76512, 120.36485",05-6969845,09:00–19:00 (週末至20:00),以崙背酪農鮮乳為主題之童趣牧場，設有餵牛區、沙坑與鮮奶烘焙坊。,"免門票親子牧場, 餵乳牛吃牧草, 鮮奶烘焙甜點","https://www.google.com/maps/search/?api=1&query=23.76512,120.36485",免門票；餵牛牧草與飼料於現場購買；鮮奶烘焙坊常大排長龍。,千巧谷牛樂園牧場
SPOT-YL-043,觀光景點,客家文化,詔安客家文化館,崙背鄉,637雲林縣崙背鄉民生路28-8號,23.7637772,120.3551258,"23.7637772, 120.3551258",05-6960111,09:00–17:00 (週一二休),首座以詔安客家為主題之文化館，外觀融合土樓意象，展示開口獅工藝。,"詔安客家原鄉, 開口獅工藝, 禾埕建築, 客家七嵌武術","https://www.google.com/maps/search/?api=1&query=23.7637772,120.3551258",中秋節期間舉辦盛大「雲林詔安客家文化節（舉火把遊客庄）」。,637雲林縣崙背鄉東明村民生路28-8號
SPOT-YL-044,觀光景點,濱海展館,台西海口生活館,台西鄉,636雲林縣台西鄉中央路1066號,23.6999603,120.1898565,"23.6999603, 120.1898565",05-6983947,10:00–18:00 (週一二休),融合高腳屋意象之綠建築，設有溼地步道、水上膠筏與文蛤生態採集。,"高腳屋水上綠建築, 撐膠筏體驗, 摸文蛤, 濱海夕陽","https://www.google.com/maps/search/?api=1&query=23.6999603,120.1898565",高腳屋親水拍照美；摸文蛤與水上撐膠筏體驗請提早預約潮汐。,海口村漁民活動中心
SPOT-YL-045,觀光景點,彩繪藝術,台西國際彩繪村,台西鄉,636雲林縣台西鄉海口村海口路,23.6993474,120.1937069,"23.6993474, 120.1937069",無,全天開放,各國志工與在地居民彩繪的海口漁村，將蚵殼與童話彩繪於紅磚老屋。,"多國青年彩繪, 蚵殼地景牆, 漁村巷弄壁畫","https://www.google.com/maps/search/?api=1&query=23.6993474,120.1937069",彩繪分布於一般安靜漁村巷弄內，參觀拍照請放低音量勿擾民。,國際志工彩繪藝術村(蚵殼厝)
SPOT-YL-046,觀光景點,名人故居,鄧麗君幼年故居,褒忠鄉,634雲林縣褒忠鄉田洋村頂田路37號,23.7199261,120.3119236,"23.7199261, 120.3119236",05-6972005,09:00–17:00 (週一二休),一代歌后鄧麗君出生地，保留農村三合院老厝，陳列黑白照片與生活足跡。,"一代歌后, 眷村三合院, 甜蜜蜜老歌, 幼年文物展","https://www.google.com/maps/search/?api=1&query=23.7199261,120.3119236",館內播放經典金曲；陳列古早童玩與歌后生平珍貴影像紀錄。,雲林縣褒忠鄉鄧麗君出生地文化園區
SPOT-YL-047,觀光景點,宗教文化,褒忠馬鳴山五年千歲公園,褒忠鄉,634雲林縣褒忠鄉馬鳴村鎮安路31號,23.6999295,120.2782851,"23.6999295, 120.2782851",05-6972045,08:00–17:00,全台最大寺廟景觀迷宮公園，建置高聳彩虹拱橋、恐龍石雕與曲徑迷宮。,"全台最大寺廟公園, 彩虹彩馬拱橋, 73關奇石迷宮","https://www.google.com/maps/search/?api=1&query=23.6999295,120.2782851",走全程約需1.5~2小時，階梯多請穿舒適布鞋並適度補水。,馬鳴山鎮安宮五年千歲祖廟
SPOT-YL-048,觀光景點,開台歷史,顏思齊開台文化客廳,水林鄉,652雲林縣水林鄉水北村文化路20號,23.5706713,120.2550081,"23.5706713, 120.2550081",05-7850001,09:00–17:00 (週一二休),水林為開台第一庄，文化客廳重現大航海時代漢人拓墾台灣歷史足跡。,"開台第一庄, 顏思齊登台歷史, 明朝七角井, 地瓜文創","https://www.google.com/maps/search/?api=1&query=23.5706713,120.2550081",周邊可順遊保留至今的明清歷史遺跡「水林七角井」與黃金地瓜田。,水林開台第一庄
SPOT-YL-049,觀光景點,生態教育,水林黃金蝙蝠生態館,水林鄉,652雲林縣水林鄉蘇 header 誠正國小校園內,23.620801,120.2612908,"23.620801, 120.2612908",05-7921097,"09:00–12:00, 13:00–16:30 (週一二休)",位於誠正國小校園內，為首座以蝙蝠保育為核心生態館，守護鼠耳蝠棲地。,"首座蝙蝠生態館, 金黃鼠耳蝠保育, 誠正國小校園","https://www.google.com/maps/search/?api=1&query=23.620801,120.2612908",春夏（5~8月）為黃金蝙蝠繁衍活躍期，校園樹梢易觀察到身影。,黃金蝙蝠生態館
SPOT-YL-050,觀光景點,宗教文化,土庫順天宮 (塗庫媽),土庫鎮,633雲林縣土庫鎮中正路109號,23.6764379,120.390708,"23.6764379, 120.390708",05-6622658,06:00–21:00,歷史悠久媽祖古廟，正殿石雕大木作保存佳，廟口老街小吃聚集。,"塗庫媽祖, 縣定古蹟, 日本觀音歷史神像, 廟口小吃","https://www.google.com/maps/search/?api=1&query=23.6764379,120.390708",廟內保存皇民化運動時期迎入供奉之「日本木雕觀音菩薩立像」。,土庫順天宮
SPOT-YL-051,觀光景點,歷史建築,土庫故事屋,土庫鎮,633雲林縣土庫鎮成功路59號,23.6773644,120.3930321,"23.6773644, 120.3930321",05-6629910,09:00–17:00 (週一二休),日治公務宿舍修復，木造雙拼日式結構融合親子故事空間。,"日式雙拼木造宿舍, 兒童故事繪本, 社區微冊角落","https://www.google.com/maps/search/?api=1&query=23.6773644,120.3930321",入室需脫鞋；週末定期辦理繪本共讀與手作體驗活動。,土庫故事屋
SPOT-YL-052,觀光景點,觀光工廠,源順芝麻觀光油廠,土庫鎮,633雲林縣土庫鎮成功路1-60號,23.6724033,120.3957209,"23.6724033, 120.3957209",05-6622268,08:00–17:30,百年製油品牌，展示古早石磨榨油至現代低溫冷壓技術。,"百年製油, 冷壓黑麻油, 純天然芝麻糖, 榨油文化","https://www.google.com/maps/search/?api=1&query=23.6724033,120.3957209",散發濃郁芝麻純香；館內設有透明製程產線與健康油導覽。,633雲林縣土庫鎮越港里成功路1-60號
SPOT-YL-053,觀光景點,休閒體驗,樂米工坊 (米烘焙概念館),土庫鎮,633雲林縣土庫鎮建國路35巷3號,23.6788102,120.39765,"23.6788102, 120.39765",05-6626009,09:00–18:00 (週一休),三代碾米廠轉型，將台灣米研磨成純米蛋糕與酥餅，推廣米食美學。,"100%純米蛋糕, 無麩質烘焙, 親子米點心DIY","https://www.google.com/maps/search/?api=1&query=23.6788102,120.39765",純米無麩質烘焙適合過敏體質；DIY米餅乾需提前預約。,樂米工坊
SPOT-YL-054,觀光景點,季節花海,莿桐孩政村花海 (季節限定),莿桐鄉,647雲林縣莿桐鄉孩沙富聚落,23.77063,120.503601,"23.77063, 120.503601",05-5842201,全天開放,春節巨型花海，休耕期種植百公頃波斯菊與向日葵，如大地畫布。,"全台最大波斯菊花海, 春節向日葵花田, 走春打卡","https://www.google.com/maps/search/?api=1&query=23.77063,120.503601",花期約在春節元宵期間；田埂行走請勿踩踏花卉作物。,雲林花海莿桐孩沙里
